date,close,high,low,open,volume,ticker,daily_return,direction,next_day_return,next_day_direction
2026-03-20,381.8699951171875,387.0,380.1199951171875,386.7900085449219,50853200,MSFT,-1.8379502592174246,-1,0.2959135038786531,1.0
2026-03-23,383.0,387.2099914550781,381.67999267578125,383.8999938964844,29680100,MSFT,0.2959135038786531,1,-2.678853724706265,-1.0
2026-03-24,372.739990234375,382.4700012207031,371.8500061035156,382.3599853515625,42733600,MSFT,-2.678853724706265,-1,-0.4560770869753483,-1.0
2026-03-25,371.0400085449219,377.05999755859375,369.6300048828125,376.9200134277344,31181200,MSFT,-0.4560770869753483,-1,-1.3664314379738696,-1.0
2026-03-26,365.9700012207031,374.7200012207031,365.19000244140625,370.82000732421875,36836600,MSFT,-1.3664314379738696,-1,-2.513870584021738,-1.0
2026-03-27,356.7699890136719,362.45001220703125,356.510009765625,361.8999938964844,37883400,MSFT,-2.513870584021738,-1,0.61384155305797,1.0
2026-03-30,358.9599914550781,365.3599853515625,356.2799987792969,361.8999938964844,44797000,MSFT,0.61384155305797,1,3.1229168262500107,1.0
2026-03-31,370.1700134277344,372.8999938964844,363.07000732421875,364.54998779296875,45244400,MSFT,3.1229168262500107,1,-0.21612185793732364,-1.0
2026-04-01,369.3699951171875,373.989990234375,368.20001220703125,373.489990234375,29417200,MSFT,-0.21612185793732364,-1,1.1072898156205158,1.0
2026-04-02,373.4599914550781,373.6400146484375,364.1499938964844,367.2099914550781,24099100,MSFT,1.1072898156205158,1,-0.15530085833448393,-1.0
2026-04-06,372.8800048828125,373.7300109863281,369.5,373.489990234375,16146600,MSFT,-0.15530085833448393,-1,-0.15822686391459007,-1.0
2026-04-07,372.2900085449219,372.45001220703125,366.55999755859375,370.3399963378906,21443300,MSFT,-0.15822686391459007,-1,0.5479540091115842,1.0
2026-04-08,374.3299865722656,385.0,371.4100036621094,384.9800109863281,33064800,MSFT,0.5479540091115842,1,-0.33659586280663234,-1.0
2026-04-09,373.07000732421875,373.5,367.04998779296875,372.5,30435300,MSFT,-0.33659586280663234,-1,-0.5897049250381925,-1.0
2026-04-10,370.8699951171875,375.6400146484375,370.0299987792969,372.9800109863281,28111100,MSFT,-0.5897049250381925,-1,3.6400895671633515,1.0
2026-04-13,384.3699951171875,384.5400085449219,371.0199890136719,373.6099853515625,35745800,MSFT,3.6400895671633515,1,2.2738482049594833,1.0
2026-04-14,393.1099853515625,394.69000244140625,386.5199890136719,387.9200134277344,37504500,MSFT,2.2738482049594833,1,4.606857252161789,1.0
2026-04-15,411.2200012207031,414.3699951171875,396.7300109863281,398.0,45063400,MSFT,4.606857252161789,1,2.19833872819577,1.0
2026-04-16,420.260009765625,420.82000732421875,412.1400146484375,419.8599853515625,41642400,MSFT,2.19833872819577,1,0.6020079761354991,1.0
2026-04-17,422.7900085449219,431.5799865722656,420.69000244140625,424.82000732421875,47812100,MSFT,0.6020079761354991,1,,
