date,close,high,low,open,volume,ticker,daily_return,direction,next_day_return,next_day_direction
2026-03-20,301.0,306.0,298.2699890136719,305.4599914550781,44364100,GOOGL,-1.9958990607744198,-1,0.352158657340107,1.0
2026-03-23,302.05999755859375,305.9800109863281,300.92999267578125,302.1099853515625,29326900,GOOGL,0.352158657340107,1,-3.846916245483134,-1.0
2026-03-24,290.44000244140625,299.9200134277344,290.3299865722656,299.20001220703125,36864300,GOOGL,-3.846916245483134,-1,0.16870618036641805,1.0
2026-03-25,290.92999267578125,296.0,289.239990234375,293.44000244140625,29460700,GOOGL,0.16870618036641805,1,-3.4406831540405025,-1.0
2026-03-26,280.9200134277344,287.95001220703125,278.5,287.9100036621094,39080600,GOOGL,-3.4406831540405025,-1,-2.342309830316325,-1.0
2026-03-27,274.3399963378906,279.3699951171875,273.95001220703125,277.2799987792969,35890600,GOOGL,-2.342309830316325,-1,-0.30618806922197983,-1.0
2026-03-30,273.5,277.0899963378906,272.1099853515625,276.4200134277344,35141200,GOOGL,-0.30618806922197983,-1,5.140766931844154,1.0
2026-03-31,287.55999755859375,288.0799865722656,277.0899963378906,278.0400085449219,43875400,GOOGL,5.140766931844154,1,3.4184229980878333,1.0
2026-04-01,297.3900146484375,300.5199890136719,290.4100036621094,290.8399963378906,37684500,GOOGL,3.4184229980878333,1,-0.5447478243950976,-1.0
2026-04-02,295.7699890136719,298.0799865722656,289.45001220703125,290.69000244140625,21666500,GOOGL,-0.5447478243950976,-1,1.4267847913765452,1.0
2026-04-06,299.989990234375,300.6199951171875,295.17999267578125,295.8699951171875,16945500,GOOGL,1.4267847913765452,1,1.8233945794089879,1.0
2026-04-07,305.4599914550781,305.6300048828125,297.7200012207031,302.7300109863281,23205400,GOOGL,1.8233945794089879,1,3.882674065642666,1.0
2026-04-08,317.32000732421875,322.0799865722656,315.0199890136719,320.45001220703125,33547100,GOOGL,3.882674065642666,1,0.36870757694167366,1.0
2026-04-09,318.489990234375,319.5400085449219,311.05999755859375,315.9100036621094,23739200,GOOGL,0.36870757694167366,1,-0.39247701288198655,-1.0
2026-04-10,317.239990234375,321.8299865722656,316.32000732421875,320.0199890136719,19152600,GOOGL,-0.39247701288198655,-1,1.282942708834356,1.0
2026-04-13,321.30999755859375,321.6300048828125,315.4700012207031,317.1400146484375,18866400,GOOGL,1.282942708834356,1,3.6102225861802673,1.0
2026-04-14,332.9100036621094,333.2900085449219,323.75,324.7900085449219,27721400,GOOGL,3.6102225861802673,1,1.2646034690357633,1.0
2026-04-15,337.1199951171875,337.4800109863281,330.8999938964844,332.8900146484375,24918800,GOOGL,1.2646034690357633,1,-0.32629512323445464,-1.0
2026-04-16,336.0199890136719,339.8800048828125,334.5199890136719,338.75,20541500,GOOGL,-0.32629512323445464,-1,1.6844246911391636,1.0
2026-04-17,341.67999267578125,342.32000732421875,336.239990234375,337.6499938964844,25519000,GOOGL,1.6844246911391636,1,,
